nsys profile -t cuda,nvtx --stats=true

NOTICE: Existing SQLite export found: report2.sqlite
        It is assumed file was previously exported from: report2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report2.sqlite] with [/opt/nvidia/nsight-systems/2024.2.1/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)   Style                                                   Range                                                
      0.3         31670167       1631    19417.6    17550.0     14600     494594      12803.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/15/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31632272       1631    19394.4    17487.0     14495     455280      11800.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/2/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31594939       1631    19371.5    17436.0     14093     455794      12092.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/22/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         31593263       1631    19370.5    17501.0     14284     297267       8698.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/14/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31565092       1631    19353.2    17527.0     14213     301221       8665.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/13/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31452958       1631    19284.5    17469.0     14276     430172      11347.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/9/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31445742       1631    19280.0    17562.0     14241     143795       5971.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/6/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31385050       1631    19242.8    17574.0     14268      92344       5456.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/11/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31371203       1631    19234.3    17500.0     14601     235447       7479.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/16/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         31347620       1631    19219.9    17504.0     13870     241237       7599.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/15/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         31254099       1631    19162.5    17554.0     14731      57547       5043.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/10/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31232756       1631    19149.5    17415.0     14619      62248       5296.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/13/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         31185803       1631    19120.7    17253.0     14474     288116       8631.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/8/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31135180       1631    19089.6    17287.0     14274     270839       8718.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/12/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31133185       1631    19088.4    17215.0     14230     338381      10283.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/17/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31115157       1631    19077.3    17451.0     14315      66719       5045.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/4/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         31096533       1631    19065.9    17321.0     14452     244256       7638.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/11/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         31080954       1631    19056.4    17376.0     14267      81526       5495.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/21/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31025663       1631    19022.5    17403.0     14121     166926       6375.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/23/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         31009726       1631    19012.7    17242.0     14079      75592       5320.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/3/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30998444       1631    19005.8    17067.0     13899     438276      11699.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/5/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30957790       1631    18980.9    17226.0     13649     418678      11020.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/9/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30926160       1631    18961.5    17330.0     14149     148107       5884.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/20/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30920629       1631    18958.1    17275.0     14384     106597       5793.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/12/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30915873       1631    18955.2    17236.0     14342     326785       9195.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/10/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30906655       1631    18949.5    17323.0     13866     275795       7986.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/18/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30872284       1631    18928.4    17073.0     13943     394935      10628.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/21/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30802604       1631    18885.7    17239.0     14379     119224       5552.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/22/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30751015       1631    18854.1    17237.0     14395     128550       5784.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/19/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30709815       1631    18828.8    17204.0     14145      60285       5112.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/16/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30706128       1631    18826.6    17136.0     14304      55344       5209.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/14/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30668678       1631    18803.6    17202.0     14437      89146       5259.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/18/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30594130       1631    18757.9    16797.0     13991     414812      11740.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/20/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30533905       1631    18721.0    16977.0     13686      68844       5102.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/4/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         30515691       1631    18709.8    17165.0     14075      60069       4988.4  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/17/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30401054       1631    18639.5    16971.0     14063      70137       5222.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/19/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         30329080       1631    18595.4    16955.0     14050      73916       5032.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/23/input_layernorm/CONSTANT_0 + BloomForC…
      0.2         29051897      79919      363.5      284.0       180     402890       1540.4  StartEnd  myelin-exec:myelinTensorSetInputMemoryBatch                                                         
      0.2         25951808       1631    15911.6    14830.0      9427      68337       5454.1  PushPop   myelin-exec:BloomForCausalLM/transformer/layers/0/input_layernorm/NORMALIZATION_0_epsilonShiftBloo…
      0.2         24870864       1631    15248.8    12525.0     10577     190489      12990.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         24361920       1631    14936.8    11987.0     10085    1127347      29281.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23602460       1631    14471.2    12147.0      9845     106081       9433.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23512629       1631    14416.1    12026.0     10085     612873      17372.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23500592      79919      294.1      263.0       170      37199        415.9  StartEnd  myelin-exec:myelinTensorSetOutputMemoryBatch                                                        
      0.2         23404860       1631    14350.0    12135.0     10101     112750       9958.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23361295       1631    14323.3    12024.0     10236     278904      11984.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23343639       1631    14312.5    12062.0     10012     129755      10114.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23326420       1631    14301.9    11993.0      9958     229944      11694.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23310775       1631    14292.3    12039.0     10059     268574      11146.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23294316       1631    14282.2    12088.0     10106     114081      10220.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23271751       1631    14268.4    12139.0     10388     118928       9110.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         23266255       1631    14265.0    12080.0     10295     139013       9910.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23239922       1631    14248.9    11970.0     10030     279119      11277.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23107175       1631    14167.5    11990.0     10186     273958      11556.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23074166       1631    14147.3    11970.0     10184     162898      10581.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         23031022       1631    14120.8    11943.0     10013     280774      11496.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22964144       1631    14079.8    12043.0     10294     144517       9366.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22932108       1631    14060.2    11893.0     10180     269759      11092.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22865951       1631    14019.6    12016.0     10337     109264       9137.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22732920       1631    13938.0    11925.0     10137     131328       9057.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22708914       1631    13923.3    11965.0      9975     111034       9260.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22705396       1631    13921.2    11929.0     10050      97046       9033.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         22573982       1631    13840.6    11879.0     10153     116817       8983.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21442029       1631    13146.6    11971.0      9830      86236       4278.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         21255923       1631    13032.4    11342.0      9326     176955       8075.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         20519739       1631    12581.1    11328.0      9388      67319       4264.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         20077496       1631    12309.9    11164.0      9442      57788       3894.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19653947       1631    12050.2    10967.0      9203     170558       5302.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19649062       1631    12047.2    10855.0      8967     290052       8483.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19626559       1631    12033.5    10792.0      9170     214243       6785.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19550234       1631    11986.7    10825.0      8978     284811       7637.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19533887       1631    11976.6    10610.0      8968     733890      18230.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19503217       1631    11957.8    10786.0      9104     147326       5224.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19500205       1631    11956.0    10827.0      9138      98186       4675.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19481598       1631    11944.6    10925.0      8903      81151       4045.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19474152       1631    11940.0    10940.0      8777      56126       3820.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19460460       1631    11931.6    10643.0      8786     473042      11999.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19452299       1631    11926.6    10868.0      8551      40017       3523.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19420772       1631    11907.3    10899.0      9141      49701       3614.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19412276       1631    11902.1    10855.0      9036      72863       4255.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19404845       1631    11897.5    10860.0      9099      43081       3667.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19378877       1631    11881.6    10871.0      9019      84961       4016.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19355669       1631    11867.4    10902.0      8678      45369       3599.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19349751       1631    11863.7    10655.0      8924     490515      12377.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19311243       1631    11840.1    10832.0      9008     108187       4223.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19300243       1631    11833.4    10630.0      9046     480918      12131.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19261946       1631    11809.9    10757.0      8839      85208       4284.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19261943       1631    11809.9    10826.0      9005      47840       3724.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19245299       1631    11799.7    10808.0      9059      75715       4096.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19217466       1631    11782.6    10862.0      9158     100308       3837.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19215309       1631    11781.3    10781.0      8972      55435       3826.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19207353       1631    11776.4    10825.0      8847     130362       4537.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19182578       1631    11761.2    10758.0      8886     106280       4262.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19166447       1631    11751.3    10737.0      8872      57925       3726.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         19141058       1631    11735.8    10798.0      8714      65370       3712.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19129372       1631    11728.6    10817.0      8834      54510       3477.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19114755       1631    11719.7    10794.0      8640      84426       3717.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19075714       1631    11695.7    10623.0      8610      50071       3790.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19060843       1631    11686.6    10734.0      8888      54472       3543.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         19049239       1631    11679.5    10633.0      8800      84099       4382.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19043249       1631    11675.8    10611.0      8925      48545       3945.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         19024188       1631    11664.1    10751.0      8934      68111       3635.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         19008895       1631    11654.7    10762.0      8639      44959       3426.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18950892       1631    11619.2    10747.0      8788      48782       3316.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18939477       1631    11612.2    10760.0      9014      45525       3201.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18858241       1631    11562.4    10709.0      8944      44078       3195.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18854656       1631    11560.2    10594.0      8968      84069       3882.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         18837801       1631    11549.8    10686.0      8777     116263       3908.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         18800366       1631    11526.9    10215.0      8528     668085      17316.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         18796906       1631    11524.8    10458.0      8697      66111       3840.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         18778185       1631    11513.3    10646.0      8967      71962       3520.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         18758116       1631    11501.0    10597.0      8667      59289       3475.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18739794       1631    11489.8    10734.0      8962      40981       3046.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18726542       1631    11481.6    10243.0      8615     293316       9302.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         18718379       1631    11476.6    10626.0      8828      79992       3758.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18549982       1631    11373.4    10318.0      8445      47445       3794.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         18510277       1631    11349.0    10193.0      8515     140639       5785.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         18488453       1631    11335.7    10270.0      8487     282532       7639.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         18474882       1631    11327.3    10222.0      8469     279550       7780.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         18458787       1631    11317.5    10348.0      8612      45938       3462.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         18451990       1631    11313.3    10353.0      8446      42296       3520.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         18435098       1631    11302.9    10176.0      8168     303214       8042.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         18372263       1631    11264.4    10300.0      7944      44812       3419.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         18371083       1631    11263.7    10178.0      8192     285515       7969.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         18366005       1631    11260.6    10259.0      8196      90750       4165.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         18356174       1631    11254.6    10309.0      8650      53297       3520.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         18332386       1631    11240.0    10202.0      8246      54631       3886.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/mlp/proj/PLUGIN_V2_Gemm_0                            
