
NOTICE: Existing SQLite export found: report1.sqlite
        It is assumed file was previously exported from: report1.nsys-rep
        Consider using --force-export=true if needed.

Processing [report1.sqlite] with [/opt/nvidia/nsight-systems/2024.2.1/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)   Style                                                   Range                                                
      0.3         29253421       1631    17935.9    16542.0     13808     325066      10007.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/12/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         29061501       1631    17818.2    16747.0     14020      72296       4571.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/23/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         29052493       1631    17812.7    16451.0     13635     386696      11963.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/16/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28889099       1631    17712.5    16412.0     14154     219009       8124.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/2/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28861377       1631    17695.5    16663.0     13684     290821       7863.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/20/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28857383       1631    17693.1    16462.0     13757     310844       9099.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/22/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28815719       1631    17667.5    16577.0     13505     395383      10224.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/16/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28704680       1631    17599.4    16287.0     13406     312632      10726.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/11/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28694469       1631    17593.2    16445.0     13752     181461       5718.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/15/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28662443       1631    17573.5    16367.0     13655     294805       7879.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/13/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28655466       1631    17569.3    16671.0     13673      49833       3679.7  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/15/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28652279       1631    17567.3    16334.0     13829     256110       7279.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/3/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28616748       1631    17545.5    16503.0     13697     297995       7883.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/21/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28595136       1631    17532.3    16458.0     13688      60742       4041.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/12/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28587701       1631    17527.7    16400.0     13658     204164       5836.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/2/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28571262       1631    17517.6    16457.0     13772     334140       8967.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/20/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28529264       1631    17491.9    16528.0     13949      60230       3927.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/11/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28435587       1631    17434.4    16077.0     13796     274666      10605.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/3/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28408999       1631    17418.1    16305.0     13531     136148       5364.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/19/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28399096       1631    17412.1    16147.0     13664     355576       9496.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/9/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28368675       1631    17393.4    16506.0     13746      55187       3755.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/18/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28286537       1631    17343.1    16495.0     13683      51917       3512.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/13/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28275282       1631    17336.2    16244.0     13409     184305       5613.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/7/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28258077       1631    17325.6    16201.0     13632      88587       4291.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/6/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28237603       1631    17313.1    16190.0     13362     316923       8294.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/8/input_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28236458       1631    17312.4    16150.0     13512     327814       9109.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/10/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28208735       1631    17295.4    16427.0     13613      42794       3467.6  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/17/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28206353       1631    17293.9    16231.0     13550     308565       8052.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/18/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28189046       1631    17283.3    16329.0     13553      91261       4127.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/21/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28165263       1631    17268.7    16113.0     13574     312963       8208.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/4/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28136747       1631    17251.2    16191.0     13537      65874       3871.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/5/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28134040       1631    17249.6    16278.0     13787      46482       3573.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/14/input_layernorm/CONSTANT_0 + BloomForC…
      0.3         28089349       1631    17222.2    16266.0     13578      46799       3577.3  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/9/post_layernorm/CONSTANT_0 + BloomForCau…
      0.3         28072444       1631    17211.8    16208.0     13530      95151       4137.5  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/10/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         28043212       1631    17193.9    16354.0     13377      49814       3621.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/17/post_layernorm/CONSTANT_0 + BloomForCa…
      0.3         27995398       1631    17164.6    16188.0     13592     115606       4292.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/8/post_layernorm/CONSTANT_0 + BloomForCau…
      0.2         27926881       1631    17122.6    16072.0     13524      49202       3760.2  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/4/input_layernorm/CONSTANT_0 + BloomForCa…
      0.2         27907816       1631    17110.9    16080.0     13467      56192       3864.8  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/6/post_layernorm/CONSTANT_0 + BloomForCau…
      0.2         27851575       1631    17076.4    16252.0     13430      70344       3634.1  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/19/input_layernorm/CONSTANT_0 + BloomForC…
      0.2         27838364       1631    17068.3    16186.0     13636      48240       3490.0  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/7/input_layernorm/CONSTANT_0 + BloomForCa…
      0.2         27687720       1631    16975.9    15829.0     13271     297633       8129.9  PushPop   TensorRT:{ForeignNode[BloomForCausalLM/transformer/layers/5/input_layernorm/CONSTANT_0 + BloomForCa…
      0.2         24289887      79919      303.9      270.0       171     182759        759.5  StartEnd  myelin-exec:myelinTensorSetInputMemoryBatch                                                         
      0.2         22716135      79919      284.2      258.0       163      24864        402.0  StartEnd  myelin-exec:myelinTensorSetOutputMemoryBatch                                                        
      0.2         22303640       1631    13674.8    11707.0     10304     145056      11363.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         22238548       1631    13634.9    11418.0      9769     479380      16793.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         22005624       1631    13492.1    11448.0      9944     605501      17729.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21890657       1631    13421.6    12183.0      8892      41097       4103.7  PushPop   myelin-exec:BloomForCausalLM/transformer/layers/0/input_layernorm/NORMALIZATION_0_epsilonShiftBloo…
      0.2         21681230       1631    13293.2    11445.0      9942     140651       9563.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21636902       1631    13266.0    11471.0      9891     282663      11063.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21569041       1631    13224.4    11512.0     10056     269557      10684.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21566280       1631    13222.7    11496.0     10018     124270       9732.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21535268       1631    13203.7    11442.0      9837     289186      12110.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21503438       1631    13184.2    11424.0      9959     286487      11157.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21496580       1631    13180.0    11381.0      9894     424324      13189.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21425680       1631    13136.5    11446.0     10046     111458       8889.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21384838       1631    13111.5    11364.0      9827     238855      10360.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21374386       1631    13105.1    11409.0      9903     298407      10854.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21344233       1631    13086.6    11450.0      9890     123820       8697.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21309539       1631    13065.3    11374.0      9768     231054      10333.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21305615       1631    13062.9    11388.0      9823     305950      11138.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21282286       1631    13048.6    11418.0      9778     134822       8860.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21265607       1631    13038.4    11533.0     10023     223931       9804.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21263154       1631    13036.9    11352.0      9943     310466      11378.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21248796       1631    13028.1    11426.0      9951     217073       9892.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21114319       1631    12945.6    11491.0     10068     137577       8600.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/attention/PLUGIN_V2_GPTAttention_0                   
      0.2         21110729       1631    12943.4    11395.0      9959     102080       8419.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         21079158       1631    12924.1    11364.0      9752     203695       9429.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/PLUGIN_V2_GPTAttention_0                  
      0.2         20002011       1631    12263.6    11448.0      9607      80123       3901.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         19216023       1631    11781.7    10665.0      8799     186193       7510.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         18768096       1631    11507.1    10664.0      8974      96047       4336.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/0/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         18416928       1631    11291.8    10465.0      8867     227596       6122.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         18404992       1631    11284.5    10194.0      8671     302095      11279.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18387645       1631    11273.8    10423.0      8760     254811       7229.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         18275059       1631    11204.8    10381.0      8745     271230       7484.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18213493       1631    11167.1    10552.0      8986      37617       2646.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         18175338       1631    11143.7    10191.0      8591     522789      13226.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         18109817       1631    11103.5    10367.0      8549     293189       7470.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         18105027       1631    11100.6    10130.0      8623     298614       9405.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         18079846       1631    11085.1    10184.0      8645     268718       7449.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17998882       1631    11035.5    10383.0      8752     119931       4317.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17979743       1631    11023.8    10330.0      8619     283491       7224.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17978345       1631    11022.9    10249.0      8479     218106       7338.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/21/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17976449       1631    11021.7    10243.0      8743     421161      10491.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17971192       1631    11018.5    10246.0      8734     283481       7245.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17964393       1631    11014.3    10370.0      8736     193625       5839.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17959611       1631    11011.4    10303.0      8609      34492       2966.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/15/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17952733       1631    11007.2    10211.0      8687     134349       4949.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17930253       1631    10993.4    10357.0      8721     253432       6458.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17922661       1631    10988.8    10372.0      8595     203014       5341.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/5/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17915391       1631    10984.3    10390.0      8753      36575       2653.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17901961       1631    10976.1    10400.0      8865      46457       2732.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17892596       1631    10970.3    10273.0      8677     421484      10404.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17869474       1631    10956.1    10132.0      8628     412342      10259.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17868084       1631    10955.3    10345.0      8683     105669       3653.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17833938       1631    10934.4    10353.0      8697      41735       2790.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17825835       1631    10929.4    10136.0      8661     292772       7724.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/22/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17750719       1631    10883.3     9909.0      8348     262936       8714.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/1/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         17717314       1631    10862.9    10202.0      8596     218424       5671.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17714468       1631    10861.1    10069.0      8583     293624       8110.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17709396       1631    10858.0    10330.0      8579      41600       2548.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17707294       1631    10856.7    10289.0      8623      40498       2803.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17699875       1631    10852.2    10161.0      8489     451519      11128.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17670960       1631    10834.4    10288.0      8555      35178       2497.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17670635       1631    10834.2    10287.0      8554      35820       2542.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/9/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17669946       1631    10833.8    10120.0      8535     283293       7315.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17669055       1631    10833.3    10302.0      8682      90890       3156.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/13/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17649772       1631    10821.4    10320.0      8500      52096       2621.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/19/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17627331       1631    10807.7    10254.0      8611      43180       2707.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/mlp/fc/PLUGIN_V2_Gemm_0                              
      0.2         17616680       1631    10801.2    10155.0      8612     102679       3468.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17593764       1631    10787.1    10198.0      8563      42206       2788.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/8/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17572597       1631    10774.1     9942.0      8363     288796       9394.1  PushPop   TensorRT:BloomForCausalLM/transformer/layers/23/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         17529407       1631    10747.6    10193.0      8745      65905       2884.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17504042       1631    10732.1    10124.0      8646     232664       6216.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17484771       1631    10720.3    10193.0      8697      49839       2490.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/12/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17481612       1631    10718.3     9788.0      8212     473219      13503.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/17/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         17466693       1631    10709.2     9857.0      8300     198095       6211.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/3/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         17465765       1631    10708.6    10187.0      8704      29922       2184.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17457961       1631    10703.8    10174.0      8698      69501       2743.9  PushPop   TensorRT:BloomForCausalLM/transformer/layers/14/attention/qkv/PLUGIN_V2_Gemm_0                      
      0.2         17435874       1631    10690.3     9767.0      8273     299215      10416.7  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         17430198       1631    10686.8    10059.0      8439      40037       2786.4  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/attention/qkv/PLUGIN_V2_Gemm_0                       
      0.2         17414892       1631    10677.4     9794.0      8194     462910      11551.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/16/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         17412947       1631    10676.2     9893.0      8330     227232       6108.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/2/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         17396670       1631    10666.3     9860.0      8349     253622       6967.0  PushPop   TensorRT:BloomForCausalLM/transformer/layers/11/mlp/proj/PLUGIN_V2_Gemm_0                           
      0.2         17356979       1631    10641.9     9759.0      8206     636788      15680.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/18/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         17333398       1631    10627.5     9790.0      8202     272275       7163.3  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         17307144       1631    10611.4     9837.0      8274     109025       4261.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/7/mlp/proj/PLUGIN_V2_Gemm_0                            
      0.2         17296486       1631    10604.8     9815.0      8344     262329       6816.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         17289216       1631    10600.4    10087.0      8655      40611       2489.6  PushPop   TensorRT:BloomForCausalLM/transformer/layers/20/mlp/fc/PLUGIN_V2_Gemm_0                             
      0.2         17227146       1631    10562.3     9881.0      8313     301817       7665.2  PushPop   TensorRT:BloomForCausalLM/transformer/layers/10/attention/dense/PLUGIN_V2_Gemm_0                    
      0.2         17223702       1631    10560.2     9846.0      8189     120176       3952.8  PushPop   TensorRT:BloomForCausalLM/transformer/layers/6/attention/dense/PLUGIN_V2_Gemm_0                     
      0.2         17211622       1631    10552.8     9923.0      8323      44068       2809.5  PushPop   TensorRT:BloomForCausalLM/transformer/layers/4/mlp/proj/PLUGIN_V2_Gemm_0                            
